,x,y,z,scalex,scaley,rotate(z),direction
background.txt  ,0.000,0.000,-2999.000,1200.000,720.000,0.000,0.000
cloud.txt  ,0.000,-0.500,-500.000,20.000,20.000,0.000,0.000
cloud.txt  ,50.000,30.000,-250.000,20.000,20.000,0.000,0.000
cloud.txt  ,-125.000,50.000,-375.000,20.000,20.000,0.000,0.000
cloud.txt  ,-100.000,40.000,-750.000,20.000,20.000,0.000,0.000
home.txt  ,0.000,-1.100,-10.000,0.400,0.400,0.000,0.000
stone.txt  ,0.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,1.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,2.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,3.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,4.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,1.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,2.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,3.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,4.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,5.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt ,2.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,-2.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-2.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,6.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-2.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-4.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-2.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,1.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,2.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,3.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.500,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-2.000,-4.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-6.000,-5.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-7.000,-5.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-8.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-8.300,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-4.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-7.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-6.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-5.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-4.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-3.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-2.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,-1.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-10.000,0.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-9.000,-8.000,-10.000,0.500,0.500,0.000,0.000
lava.txt  ,-8.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-7.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-6.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-5.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-4.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-3.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-2.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,-1.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,0.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,1.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,2.000,-8.000,-10.000,0.500,0.500,0.000,0.000
stone.txt  ,3.000,-8.000,-10.000,0.500,0.500,0.000,0.000
